"yr","date","h3grp","time","wind.2m","rain.rate","air.temp","date.time","ct","rain.cum","sim","man.dm","man.ph","app.rate.ni","tan.app","f0","r1","r2","r3","f4","f","s","j","e","e.int","er"
2020,2020-04-08,7,24,2.37773099551945,0,6.8,2020-04-09 00:00:00,63,0,144,6.5,7,30,100,0.322934597685581,0.0142545279859886,0.0158786853066665,0.000449353106180681,1,0.357870271036527,70.1590844523581,0.0368824679397513,29.4830452766054,0.110647403819254,0.294830452766054
2020,2020-04-09,0,3,3.016905994315,0,6.4,2020-04-09 03:00:00,66,0,144,6.5,7,30,100,0.322934597685581,0.016618155185184,0.0158786853066665,0.000449353106180681,1,0.324628037810653,70.0808013448296,0.0371751135847885,29.5945706173598,0.111525340754365,0.295945706173598
2020,2020-04-09,1,6,3.8350499927733,0,6.23333333333333,2020-04-09 06:00:00,69,0,144,6.5,7,30,100,0.322934597685581,0.0214420304555724,0.0158786853066665,0.000449353106180681,1,0.290242819298514,70.001011608137,0.0380583184015807,29.7087455725645,0.114174955204742,0.297087455725645
2020,2020-04-09,2,9,3.63051399315873,0.0333333333333333,6.03333333333333,2020-04-09 09:00:00,72,0.0166666666666667,144,6.5,7,30,100,0.322934597685581,0.0193117806728751,0.0163662278677447,0.000449353106180681,1,0.260781751128588,69.9202147922779,0.0367526280096714,29.8190034565935,0.110257884029014,0.298190034565935
2020,2020-04-09,3,12,5.13896699031622,0,8.96666666666667,2020-04-09 12:00:00,75,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.0534833398396403,0.0158786853066665,0.000449353106180681,1,0.211790542564192,69.8372291814317,0.043992273136863,29.9509802760041,0.131976819410589,0.299509802760041
2020,2020-04-09,4,15,5.5736059894972,0,9.66666666666667,2020-04-09 15:00:00,78,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.0699858723589881,0.0158786853066665,0.000449353106180681,1,0.163694863522427,69.7520358278901,0.044429677527783,30.0842693085875,0.133289032583349,0.300842693085875
2020,2020-04-09,5,18,4.98556499060529,0,8.6,2020-04-09 18:00:00,81,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.0476652178038619,0.0158786853066665,0.000449353106180681,1,0.135283475736879,69.6651639487098,0.0384277556552857,30.1995525755533,0.115283266965857,0.301995525755533
2020,2020-04-09,6,21,3.11917399412229,0,5.5,2020-04-09 21:00:00,84,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.0147829778982929,0.0158786853066665,0.000449353106180681,1,0.123394607054638,69.5774670964169,0.0331952403250545,30.2991382965285,0.0995857209751634,0.302991382965285
2020,2020-04-09,7,24,1.58515399701296,0,3.23333333333333,2020-04-10 00:00:00,87,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.00592314409437324,0.0158786853066665,0.000449353106180681,1,0.115582194707361,69.4894217881051,0.0319525735530277,30.3949960171876,0.0958577206590832,0.303949960171876
2020,2020-04-10,0,3,1.76412299667572,0,2,2020-04-10 03:00:00,90,0.0333333333333333,144,6.5,7,30,100,0.322934597685581,0.00511378935292185,0.0158786853066665,0.000449353106180681,1,0.108527597488832,69.401141494446,0.0317782969592232,30.4903309080652,0.0953348908776697,0.304903309080652
